Model,MAE,RMSE,R2
LinearRegression,2.43415280774268,2.81913744517619,-0.0249741837522508
SVR,2.49507568902161,2.8836238976341066,-0.07240210714420936
RandomForestRegressor,2.4796875,2.9133134951174293,-0.09459854821953129
KNeighborsRegressor,2.6350000000000002,3.08566578445128,-0.2279429676864655
DecisionTreeRegressor,3.1,3.8546508704853326,-0.9162427455756967
