Model,Accuracy,Precision,Recall,F1,ROC_AUC
RandomForestClassifier,0.975,0.0,0.0,0.0,0.9205840455840456
LogisticRegression,0.875,0.125,0.6666666666666666,0.21052631578947367,0.9195156695156695
SVC,0.9125,0.14285714285714285,0.5,0.2222222222222222,0.9195156695156695
KNeighborsClassifier,0.975,0.0,0.0,0.0,0.613960113960114
DecisionTreeClassifier,0.9666666666666667,0.25,0.16666666666666666,0.2,0.576923076923077
